No.,Name,Add.,QTY,Perm.,Data Type,Gain,Unit,Hybrid Inv, PV inv.,Comment
1,Model type,30500,15,RO,STRING,N/A,N/A,√,√,
2,Serial number,30515,10,RO,STRING,N/A,N/A,√,√,
3,Machine firmware version,30525,15,RO,STRING,N/A,N/A,√,√,
4,Rated active power,30540,2,RO,U32,1000,kW,√,√,
5,Max. apparent power,30542,2,RO,U32,1000,kVA,√,√,
6,Max. active power,30544,2,RO,U32,1000,kW,√,√,
7,Max. absorption power,30546,2,RO,U32,1000,kW,√,,
8,Rated battery capacity,30548,2,RO,U32,100,kWh,√,,
9,[ESS] Rated charge power,30550,2,RO,U32,1000,kW,√,,
10,[ESS] Rated discharge power,30552,2,RO,U32,1000,kW,√,,
11,Reserved,30554,12,RO,N/A,N/A,N/A,,,
12,[ESS] Daily charge energy,30566,2,RO,U32,100,kWh,√,,
13,[ESS] Accumulated charge energy,30568,4,RO,U64,100,kWh,√,,
14,[ESS] Daily discharge energy,30572,2,RO,U32,100,kWh,√,,
15,[ESS] Accumulated discharge energy,30574,4,RO,U64,100,kWh,√,,
16,Running state,30578,1,RO,U16,N/A,N/A,√,√,Refer to Appendix 1
17,Max. active power adjustment value,30579,2,RO,S32,1000,kW,√,√,
18,Min. active power adjustment value,30581,2,RO,S32,1000,kW,√,,
19,Max. reactive power adjustment value fed to the ac terminal,30583,2,RO,U32,1000,kVar,√,√,
20,Max. reactive power adjustment value absorbed from the ac terminal,30585,2,RO,U32,1000,kVar,√,√,
21,Active power,30587,2,RO,S32,1000,kW,√,√,
22,Reactive power,30589,2,RO,S32,1000,kVar,√,√,
23,[ESS] Max. battery charge power,30591,2,RO,U32,1000,kW,√,,
24,[ESS] Max. battery discharge power,30593,2,RO,U32,1000,kW,√,,
25,[ESS] Available battery charge Energy,30595,2,RO,U32,100,kWh,√,,
26,[ESS] Available battery discharge Energy,30597,2,RO,U32,100,kWh,√,,
27,[ESS] Charge/ discharge power,30599,2,RO,S32,1000,kW,√,,
28,[ESS] Battery SOC,30601,1,RO,U16,10,%,√,,
29,[ESS] Battery SOH,30602,1,RO,U16,10,%,√,,
30,[ESS] Average cell temperature,30603,1,RO,S16,10,°C,√,,
